model,target,variogram_model,fold,test_blocks,n_train_available,n_train_used,n_test,n_closest_points,status,error,mae,rmse,r2,mape,bias,explained_variance
OrdinaryKriging,S,exponential,4,Nedumangad,3909,1200,999,48,success,,16.938709244525914,23.443974547401595,0.0029750220156883334,88.95481871839922,1.0946379634205097,0.005148646753483033
OrdinaryKriging,S,gaussian,1,Pampady,3052,1200,1856,48,success,,21.02881473828507,32.315372650625775,-0.0651330479636052,446.1587215654728,-5.487000789350649,-0.03442476256266436
OrdinaryKriging,S,gaussian,2,Vazhoor,3857,1200,1051,48,success,,18.684596260209393,26.108522542071178,-0.2879682932458447,164.83407252009508,-8.189610168001876,-0.16124191054955928
OrdinaryKriging,S,gaussian,3,Chelannur,3906,1200,1002,48,success,,6.62698151112344,18.03160884386184,-0.0008473640761985646,129.1690945598628,0.5246692081320441,0.0
OrdinaryKriging,S,gaussian,4,Nedumangad,3909,1200,999,48,success,,16.938709244544967,23.443974547402775,0.002975022015587858,88.95481871860513,1.0946379634702106,0.005148646753579955
OrdinaryKriging,S,linear,1,Pampady,3052,1200,1856,48,success,,21.041118352850443,32.31084581801815,-0.06483465491410545,447.03904465038687,-5.4448018723680685,-0.03459689007978706
OrdinaryKriging,S,linear,2,Vazhoor,3857,1200,1051,48,success,,18.684596260212423,26.108522542065174,-0.2879682932452521,164.8340725202807,-8.189610167957115,-0.1612419105503522
OrdinaryKriging,S,linear,3,Chelannur,3906,1200,1002,48,success,,6.626981511128371,18.031608843862344,-0.0008473640762542978,129.1690945600732,0.5246692081493218,2.220446049250313e-16
OrdinaryKriging,S,linear,4,Nedumangad,3909,1200,999,48,success,,14.994487687406606,24.24996466897573,-0.0667576760569013,60.75797969985558,-6.332551017301049,0.005986955877559708
OrdinaryKriging,Fe,spherical,1,Pampady,3052,1200,1856,48,success,,29.113262578682296,30.345908217768482,-17.699416517086753,584.7157872300002,29.1113315118157,-0.4905638947706701
OrdinaryKriging,Fe,spherical,2,Vazhoor,3857,1200,1051,48,success,,32.55656410751298,45.04949356509504,-0.9968419606416714,56.72234768700704,-32.19708523818284,0.02315054919234727
OrdinaryKriging,Fe,spherical,3,Chelannur,3906,1200,1002,48,success,,30.64193995858575,45.356014077906174,-0.7967457519100365,58.496009955101954,-30.203094838858267,0.0
OrdinaryKriging,Fe,spherical,4,Nedumangad,3909,1200,999,48,success,,33.6321074130542,46.209224910665334,-0.11220511563984292,163.98994338225236,-13.10731145976106,-0.022719184975628748
OrdinaryKriging,Fe,exponential,1,Pampady,3052,1200,1856,48,success,,28.182980766649962,29.74484292532645,-16.96598923764303,572.4602668022223,28.178593561400586,-0.8422264051791608
OrdinaryKriging,Fe,exponential,2,Vazhoor,3857,1200,1051,48,success,,32.52620747031512,45.03252962279327,-0.9953383728660516,56.63870525424163,-32.15136421294758,0.021759341294961487
OrdinaryKriging,Fe,exponential,3,Chelannur,3906,1200,1002,48,success,,31.659924181211633,46.12806452532207,-0.8584347989252488,61.28401138526661,-31.350554327926943,-4.361640826289204e-09
OrdinaryKriging,Fe,exponential,4,Nedumangad,3909,1200,999,48,success,,33.68954469287078,46.175103433199915,-0.1105631893598491,164.53757258248942,-12.864618770074406,-0.024360391441488938
OrdinaryKriging,Fe,gaussian,1,Pampady,3052,1200,1856,48,success,,30.221810376284985,31.183853916912305,-18.746373620478327,601.6124987308044,30.221810376284985,-0.19958475372789253
OrdinaryKriging,Fe,gaussian,2,Vazhoor,3857,1200,1051,48,success,,32.73084383026236,45.13005607434347,-1.0039902959288503,57.36509453375713,-32.42714751830783,0.03063087867248382
OrdinaryKriging,Fe,gaussian,3,Chelannur,3906,1200,1002,48,success,,30.629815520094965,45.34661477539513,-0.7960011359069838,58.464979221581046,-30.188978061503303,0.0
OrdinaryKriging,Fe,gaussian,4,Nedumangad,3909,1200,999,48,success,,33.60702730900235,46.31760687807948,-0.11742850310433561,163.1368848206059,-13.435957131895258,-0.02339887044709954
OrdinaryKriging,Fe,linear,1,Pampady,3052,1200,1856,48,success,,30.355802710263735,31.298800616729135,-18.89221600431001,603.9681937061831,30.355802710263735,-0.18060335199536803
OrdinaryKriging,Fe,linear,2,Vazhoor,3857,1200,1051,48,success,,32.69530613996086,45.118583995821915,-1.002971595133611,57.20252449597359,-32.384443539837605,0.02892634592044907
OrdinaryKriging,Fe,linear,3,Chelannur,3906,1200,1002,48,success,,30.293412655594025,45.08183996850303,-0.7750889884076988,57.64511894606371,-29.786988889676607,-0.00014543337246886168
OrdinaryKriging,Fe,linear,4,Nedumangad,3909,1200,999,48,success,,33.52457286355717,46.46617370219179,-0.12460845317845459,160.98193485557078,-14.01433068350267,-0.022309252045521255
OrdinaryKriging,Mn,spherical,1,Pampady,3052,1200,1856,48,success,,33.111282718664235,33.91760809734535,-32.92777795000897,568.1374524755745,33.111282718664235,-0.593959724138768
OrdinaryKriging,Mn,spherical,2,Vazhoor,3857,1200,1051,48,success,,32.868947631370425,41.92159350735647,-1.4315750357655292,67.10918380947479,-32.59811099661588,0.0386945698675909
OrdinaryKriging,Mn,spherical,3,Chelannur,3906,1200,1002,48,success,,12.855605410812366,19.719690663968898,-0.49377840976392906,65.95632473832744,-11.337650297315625,0.0
OrdinaryKriging,Mn,spherical,4,Nedumangad,3909,1200,999,48,success,,20.63038081780919,23.91359209690719,-0.3017282268656598,178.6914906040953,11.377715652889991,-0.007054890795629154
OrdinaryKriging,Mn,exponential,1,Pampady,3052,1200,1856,48,success,,31.275597439865372,33.82335590058259,-32.73947902729044,535.0988905068308,31.275597439865372,-3.891445736742604
OrdinaryKriging,Mn,exponential,2,Vazhoor,3857,1200,1051,48,success,,32.82079768491101,41.886942037636004,-1.4275569239087895,67.00455429210605,-32.54511959898854,0.037936434730937996
OrdinaryKriging,Mn,exponential,3,Chelannur,3906,1200,1002,48,success,,12.850226476776108,19.715010894234712,-0.49306950315556963,65.95623321559427,-11.329508768759236,0.0
OrdinaryKriging,Mn,exponential,4,Nedumangad,3909,1200,999,48,success,,20.63038081798212,23.913592097025543,-0.30172822687854484,178.69149060584178,11.377715653157377,-0.007054890794664148
OrdinaryKriging,Mn,gaussian,1,Pampady,3052,1200,1856,48,success,,33.777356770191844,34.40510504933433,-33.910073078760135,579.3877242745043,33.777356770191844,-0.26230176747726075
OrdinaryKriging,Mn,gaussian,2,Vazhoor,3857,1200,1051,48,success,,33.09421830978222,42.08085945659424,-1.4500859135486328,67.628318185289,-32.839563244591616,0.04204475224892534
OrdinaryKriging,Mn,gaussian,3,Chelannur,3906,1200,1002,48,success,,12.850226464197279,19.715010883293537,-0.49306950149836126,65.95623321538022,-11.329508749719977,0.0
OrdinaryKriging,Mn,gaussian,4,Nedumangad,3909,1200,999,48,success,,19.852550165810776,23.388560666483237,-0.24519589533089858,170.82128965378655,10.198276172976124,-0.008449036516769093
